nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
       144, 6.786660757E-03,-5.802065134E-04,-2.431740286E-03
       145, 3.621184081E-02,-5.815373152E-04,-2.431422239E-03
       146, 3.563465923E-02, 5.958917900E-04,-2.427944215E-03
       147, 3.845331073E-02, 5.967880134E-04,-2.427723957E-03
       148, 7.364457939E-03, 5.973107764E-04,-2.427595435E-03
       149,-2.300668973E-03,-6.051929086E-04,-2.425642451E-03
       150, 4.406703636E-03, 6.160165649E-04,-2.422916237E-03
       151, 5.139376968E-02,-6.259849179E-04,-2.420359990E-03
       152,-8.396884426E-03,-6.256880006E-04,-2.420436824E-03
       153, 5.320045725E-02,-6.304763374E-04,-2.419193974E-03
       154, 4.540890455E-02, 6.369029288E-04,-2.417509910E-03
       155, 5.507782102E-02, 6.462573074E-04,-2.415026072E-03
       156,-4.439760000E-03, 6.494335830E-04,-2.414173912E-03
       157, 3.751000389E-02,-6.522441399E-04,-2.413416281E-03
       158, 5.367038772E-03,-6.544665084E-04,-2.412814414E-03
       159,-1.207106095E-02, 6.545591168E-04,-2.412789268E-03
       160, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03
       161, 2.899999917E-02,-6.783297868E-04,-2.406214597E-03
       162, 4.383893311E-02,-6.783831050E-04,-2.406199463E-03
       163, 4.197156802E-02,-6.837945548E-04,-2.404667437E-03
       164, 4.748517647E-02, 6.868164055E-04,-2.403805964E-03
       165, 1.265364606E-02,-6.898377324E-04,-2.402940765E-03
       166, 3.034643084E-02,-6.896882551E-04,-2.402983606E-03
       167, 4.056384787E-02, 6.937561557E-04,-2.401812235E-03
       168, 5.176113546E-02, 6.966053625E-04,-2.400987549E-03
       169,-6.288967561E-03,-7.052618312E-04,-2.398459008E-03
       170, 4.928661883E-02,-7.060536300E-04,-2.398226177E-03
       171,-1.600000076E-02,-7.094115135E-04,-2.397235017E-03
       172, 5.900000036E-02,-7.094115135E-04,-2.397235017E-03
       173, 1.003765967E-02,-7.136172499E-04,-2.395986347E-03
       174, 3.296224400E-02,-7.136003114E-04,-2.395991469E-03
       175,-3.183222841E-03, 7.160983514E-04,-2.395245945E-03
       176, 1.059352304E-03,-7.235603407E-04,-2.393002389E-03
       177, 5.629236624E-02,-7.260541315E-04,-2.392246854E-03
       178,-1.329112239E-02,-7.280127029E-04,-2.391651738E-03
       179,-8.771564811E-03, 7.281029830E-04,-2.391624032E-03
       180, 3.540304722E-03, 7.285953616E-04,-2.391474089E-03
       181, 3.034681268E-02, 7.325921906E-04,-2.390252892E-03
       182, 1.265326887E-02, 7.327511557E-04,-2.390204230E-03
       183, 2.899999917E-02, 7.343878387E-04,-2.389701782E-03
       184, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03
       185, 1.131831110E-02,-7.436004817E-04,-2.386851236E-03
       186, 3.168170527E-02,-7.435973966E-04,-2.386852168E-03
       187,-1.666665892E-03, 7.455349551E-04,-2.386247506E-03
       188, 4.187726974E-02, 7.504161913E-04,-2.384717111E-03
       189,-1.465068851E-02,-7.519843057E-04,-2.384223044E-03
       190, 5.765096471E-02,-7.519322098E-04,-2.384239575E-03
       191, 8.867708966E-03,-7.546709967E-04,-2.383373911E-03
       192, 3.413063288E-02,-7.547388086E-04,-2.383352490E-03
       193, 3.429929540E-02, 7.616934599E-04,-2.381138969E-03
       194, 3.809686517E-03,-7.621119730E-04,-2.381005092E-03
       195, 8.700100705E-03, 7.619519602E-04,-2.381056314E-03
       196, 3.298460320E-02, 7.688930491E-04,-2.378823934E-03
       197, 1.001470350E-02, 7.692238432E-04,-2.378717065E-03
       198,-1.600000076E-02, 7.709498168E-04,-2.378158271E-03
       199, 5.900000036E-02, 7.709498750E-04,-2.378158271E-03
       200,-1.198655274E-02,-7.749404176E-04,-2.376860706E-03
       201, 5.499083176E-02,-7.760894368E-04,-2.376485849E-03
       202, 1.131717861E-02, 7.772673271E-04,-2.376100980E-03
       203, 3.168284148E-02, 7.772443932E-04,-2.376108430E-03
       204, 5.310903862E-02, 7.777379942E-04,-2.375946846E-03
       205,-1.465765480E-02, 7.796919090E-04,-2.375306329E-03
       206, 5.765788257E-02, 7.797139697E-04,-2.375299111E-03
       207,-9.756414802E-04, 7.851065602E-04,-2.373522148E-03
       208, 4.726416245E-02,-7.871970301E-04,-2.372829709E-03
       209,-1.011268049E-02, 7.999640657E-04,-2.368556103E-03
       210,-1.612240914E-03,-8.021585527E-04,-2.367813606E-03
       211, 4.967933893E-02, 8.028006996E-04,-2.367596142E-03
       212,-2.451449400E-03, 8.089133189E-04,-2.365514636E-03
       213, 5.630008504E-02, 8.102824795E-04,-2.365045948E-03
       214,-1.329920162E-02, 8.116536192E-04,-2.364575630E-03
       215,-2.891310025E-03,-8.185975021E-04,-2.362180734E-03
       216, 5.260754749E-02,-8.249107050E-04,-2.359983511E-03
       217, 4.081506282E-02,-8.393932367E-04,-2.354871249E-03
       218, 4.406337813E-02, 8.456402575E-04,-2.352635143E-03
       219,-6.515866611E-03, 8.465719875E-04,-2.352300100E-03
       220,-9.766800329E-03,-8.581869770E-04,-2.348087495E-03
       221, 4.519029707E-02,-8.603870519E-04,-2.347282367E-03
       222,-4.267314449E-03,-8.718242752E-04,-2.343058353E-03
